-1092862893875606935	2621342773661594845	7471421586818441363	2818572806116725331	-2252320162665939155
-138291996220967052	-988328365217408605	-8266881730114370196	-2475962697259969959	-8967535994107379131
-139974439253629100	-593990036529660578	-4490225131987475455	4197343201682061562	6916582067154646528
-1577823091998600935	-582037415930265583	7946063201434496689	-2901851810231730626	-3944141330410042135
-1673844867017279217	-5172667564502099327	-6400749973040691735	-6185853447438133911	4265890958869003421
-1742700196381209477	2174057758691198981	9117547046978343444	-718720070185344060	-7141010143038095484
-181224728971941524	-2047179127259574181	1646771776498491634	-4196992356980564268	-5313686678872080020
-1812894677637277674	-2760605969834033619	824240462467074953	5892220140764258772	-6078078060715057456
-2123560976497315317	6563748781572800119	-8066830327457742979	-3301142995357927307	-519056663288582107
-2188073818376966088	-6676672108386035314	1314014550001162752	-9019690087922609982	7593729569287168134
-2349081956949108789	1668507611932899284	-3911990490347854081	-6083417684293639602	120147018039866988
-2688711832393115854	2001420422957724996	-8993422415096101249	4900472446671965490	-8310328430350809129
-3045248617010951543	7046186452399608905	3086270843942726932	-6223767240562563320	-8608791723269294336
-3067165206778303174	2876777045485482638	-4779674344447127748	-6971763742860586150	-9158593562220159012
-3095611784768123954	3052946738749429003	153942158428427066	-2630597116951162710	-6658329670486061406
-3117269253508041856	-6736564139397616829	-4118932553391809985	-7101994204136596221	-4226522382311668787
-4129473037488317355	5764632309062412615	7876117012056323951	2336291266047159688	-1454964463833477956
-4182051615915716170	-5012723617446909776	-4941677609343623308	4320386438182685368	648699558500230081
-4235165021702508161	8176057162363903480	-1465138265801731883	3630640203366094373	2017613892280727104
-4486920809072653772	7949525573400495554	-5346505899377682113	-6549894142964804077	5426851474745681353
-4824462582881426465	6283823588098573834	-3377295340262653420	5776607099112839557	-8243682516722918728
-5172604066604685411	3769710784359716109	5342613474488729110	5974458902772040933	8920782450061216489
-5212641758701828315	-7563444480123310374	-1541566873501060602	-7278676014515564054	-2600353468306161870
-5247755466853469585	-690742400076589619	4870805951995999885	6298641085844847220	3481095548800142581
-601524398570866475	-6755351744732597168	-2833603435821504416	90477473408561144	-6354742018747978919
-6205413487282235572	4460758758162539379	-1423912187173564547	-1154478118195981551	8294190145782672291
-6479240941197236129	-6279755325153830884	-2638040708577999139	4359569946248832966	-7517658035780842067
-6587864758227284614	-7386312658422990462	8866733707383805439	-5998067762468638681	-3629628708547188278
-6665120330631467986	4908700585794678279	3070459261236719851	1792439461079519420	-2945352566855669311
-6725296997460312844	7675406193958325037	1092083160972908114	6555117104409735138	-8870646630211204103
-6837953746387910595	-1141203109635083750	4695843077398943546	15622389687229989	-6854246840876589041
-6974388027610376710	-4622546415903492473	-8356608885249481470	1419266685488020556	-7324730273786463978
-7088888811303336007	2378065545351110789	-4188100981971612463	-7513397845612458172	-3879002084300773234
-7354683002316905906	6029983585354810833	3398501540731150746	3724219408422556500	2968523090898715781
-7436887397023362434	-812867183842457098	3849236922065248006	-7606422667079887543	-846273848791031137
-7799789466021794878	8921627258460040161	-1713957585072391431	6502642374620462651	-4312588268277859289
-7878351608537591861	4377714575753264639	9184405823602649081	-3455937847456386159	711740033834284830
-7956500952585818927	6922342431617997673	230200642228881109	8571717844197626767	5720649601273991863
-8242574289096256158	2399012536521338632	2065695194918084291	-8736662007980261694	-980011786550463613
-8337930979686459138	-6810895066885358940	3196545885120273059	1408595737858943374	-345230390774696308
-8450563391250620895	2801293400862387502	2908895815862272381	-8783497755231683353	7027653290496353824
-8622189448923248405	6643655482885101975	488159836359746208	5345112823913918403	-7700754083445741081
-8883127529465029788	3588452703493455825	-6075242706642308586	-2739771873557148117	-1907928931584044813
1014858642036142506	-8006576959083789275	6517002659489443693	8011431426890051307	-7472784581830588058
1136427255993348305	7436076608327844701	-1981141871510090552	-1747487959735337908	5686087436817561340
1171454385538206567	146132201605715448	2673670240828631512	-4781256639181296474	8346143309723402201
1299229758621049778	-8279639552056817803	-3851777992545093540	8119009133398946794	299795862622533268
1327428182396525415	3895987839381797301	6181587571523302112	3351672241538219096	-2697973620008723824
1719998263460177967	-7478014051951959350	-1520146201631374229	5131958662952716346	-2754140806480617784
1735436925256957885	-2334350431216562673	8312545983331360430	7166341308724783841	3521908314186634313
